Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,35.000000,35.099998,34.799999,34.799999,34.799999,55200
2019-09-17,34.500000,34.900002,34.500000,34.700001,34.700001,111400
2019-09-18,34.849998,35.000000,34.099998,34.700001,34.700001,57214
2019-09-19,35.099998,35.250000,34.750000,34.799999,34.799999,18600
2019-09-20,34.849998,35.900002,34.849998,35.599998,35.599998,146400
2019-09-23,35.599998,35.700001,33.799999,33.799999,33.799999,39400
2019-09-24,34.349998,34.549999,33.950001,33.950001,33.950001,95892
2019-09-25,34.099998,34.200001,32.799999,33.150002,33.150002,54200
2019-09-26,33.150002,33.849998,33.099998,33.549999,33.549999,54218
2019-09-27,33.250000,33.950001,33.250000,33.250000,33.250000,45065
2019-09-30,33.299999,33.750000,33.000000,33.400002,33.400002,78500
2019-10-02,33.049999,33.349998,32.500000,33.299999,33.299999,31000
2019-10-03,33.299999,34.299999,33.000000,33.900002,33.900002,86400
2019-10-04,34.000000,35.150002,34.000000,34.349998,34.349998,68800
2019-10-08,34.000000,35.000000,32.900002,34.950001,34.950001,192200
2019-10-09,34.900002,34.900002,34.150002,34.849998,34.849998,100600
2019-10-10,33.799999,34.799999,33.000000,34.599998,34.599998,43000
2019-10-11,34.799999,35.299999,34.549999,35.000000,35.000000,128000
2019-10-14,36.000000,40.099998,36.000000,37.849998,37.849998,582000
2019-10-15,37.849998,39.700001,37.099998,39.000000,39.000000,359400
2019-10-16,39.799999,40.750000,38.000000,40.750000,40.750000,471800
2019-10-17,40.599998,44.099998,40.599998,42.599998,42.599998,935700
2019-10-18,42.549999,43.400002,40.349998,40.400002,40.400002,491100
2019-10-21,40.400002,40.400002,38.799999,39.400002,39.400002,321400
2019-10-22,40.000000,40.299999,38.549999,40.099998,40.099998,182300
2019-10-23,41.099998,41.099998,39.000000,39.450001,39.450001,159326
2019-10-24,39.450001,40.599998,39.450001,39.500000,39.500000,130200
2019-10-25,39.950001,40.150002,39.500000,39.500000,39.500000,93000
2019-10-28,39.500000,40.049999,39.500000,39.900002,39.900002,126600
2019-10-29,40.450001,41.049999,39.599998,40.000000,40.000000,273200
2019-10-30,39.599998,40.000000,39.000000,39.299999,39.299999,106800
2019-10-31,39.049999,39.900002,39.049999,39.650002,39.650002,404600
2019-11-01,39.549999,39.650002,38.000000,38.650002,38.650002,459000
2019-11-04,38.799999,40.049999,38.650002,39.549999,39.549999,97600
2019-11-05,40.000000,40.000000,38.849998,39.799999,39.799999,47800
2019-11-06,39.549999,39.750000,39.299999,39.400002,39.400002,274806
2019-11-07,39.549999,39.750000,39.000000,39.299999,39.299999,228900
2019-11-08,39.650002,41.250000,39.349998,39.400002,39.400002,383200
2019-11-11,39.450001,40.250000,39.450001,39.849998,39.849998,244600
2019-11-12,40.000000,40.049999,39.400002,39.700001,39.700001,362800
2019-11-13,39.000000,39.400002,38.000000,38.450001,38.450001,392400
2019-11-14,38.799999,39.349998,35.700001,36.400002,36.400002,445200
2019-11-15,36.400002,37.099998,35.250000,35.599998,35.599998,1341800
2019-11-18,35.599998,37.250000,35.000000,36.900002,36.900002,355200
2019-11-19,36.900002,38.400002,36.750000,38.400002,38.400002,281200
2019-11-20,38.400002,42.150002,38.450001,41.799999,41.799999,640200
2019-11-21,41.700001,43.599998,40.799999,43.549999,43.549999,576200
2019-11-22,43.849998,47.500000,42.450001,45.700001,45.700001,1035051
2019-11-25,46.099998,50.150002,45.900002,49.900002,49.900002,872000
2019-11-26,50.500000,52.500000,48.849998,50.500000,50.500000,1371800
2019-11-27,50.500000,53.500000,48.099998,53.400002,53.400002,786400
2019-11-28,53.400002,57.299999,52.950001,53.500000,53.500000,960300
2019-11-29,52.000000,55.750000,51.000000,52.500000,52.500000,821619
2019-12-02,53.750000,53.750000,49.900002,51.400002,51.400002,593200
2019-12-03,51.400002,51.400002,48.500000,50.150002,50.150002,284000
2019-12-04,50.099998,51.950001,50.000000,51.200001,51.200001,274200
2019-12-05,51.900002,52.299999,48.250000,48.650002,48.650002,385700
2019-12-06,49.900002,49.950001,48.750000,48.950001,48.950001,263600
2019-12-09,50.000000,50.000000,47.000000,47.700001,47.700001,408200
2019-12-10,47.900002,49.900002,47.900002,49.000000,49.000000,195000
2019-12-11,49.000000,49.250000,47.700001,48.400002,48.400002,234400
2019-12-12,48.400002,49.849998,48.099998,49.650002,49.650002,172400
2019-12-13,50.000000,51.500000,49.849998,50.250000,50.250000,342800
2019-12-16,50.250000,51.549999,49.799999,51.549999,51.549999,274200
2019-12-17,53.000000,55.000000,51.849998,54.400002,54.400002,458400
2019-12-18,56.000000,57.099998,52.000000,53.549999,53.549999,241600
2019-12-19,52.099998,54.900002,52.099998,53.349998,53.349998,177400
2019-12-20,53.950001,55.500000,53.349998,55.099998,55.099998,378200
2019-12-23,55.099998,56.200001,54.500000,54.799999,54.799999,190400
2019-12-24,55.049999,55.349998,54.599998,54.950001,54.950001,100800
2019-12-27,54.950001,57.299999,54.799999,57.099998,57.099998,283982
2019-12-30,57.599998,63.150002,57.200001,60.900002,60.900002,413600
2019-12-31,61.000000,61.200001,58.700001,58.950001,58.950001,267200
2020-01-02,58.500000,60.500000,58.500000,59.849998,59.849998,219200
2020-01-03,60.750000,60.900002,58.700001,58.900002,58.900002,225600
2020-01-06,58.799999,60.000000,58.099998,58.500000,58.500000,214400
2020-01-07,58.549999,60.000000,58.000000,59.000000,59.000000,506800
2020-01-08,58.750000,58.750000,55.500000,56.450001,56.450001,400200
2020-01-09,57.500000,58.700001,57.000000,57.700001,57.700001,235200
2020-01-10,57.700001,58.099998,56.549999,58.000000,58.000000,337600
2020-01-13,58.250000,61.200001,58.250000,60.200001,60.200001,446975
2020-01-14,60.099998,60.150002,58.000000,58.450001,58.450001,184200
2020-01-15,58.000000,59.000000,57.000000,57.450001,57.450001,488400
2020-01-16,57.000000,60.650002,56.799999,60.549999,60.549999,876000
2020-01-17,60.549999,61.099998,60.000000,61.099998,61.099998,354000
2020-01-20,62.000000,64.949997,61.950001,63.549999,63.549999,773100
